,observation_1,observation_2,hypothesis_1,hypothesis_2,label
7758,Gina's friends were arguing.,"She tried not to, but she enjoyed the drama far too much.",Gina was in the other room ignoring the fight.,Gina was in the other room listening to the fight.,2
7759,Tim and Mary invited Susan and Joe out camping on Sunday.,Tim and Mary convinced them to go anyway.,Susan and Joe needed to work.,Susan and Joe unimportanted to work.,1
7760,Clara wants to get her mom something special for Mother's day.,The two spent Mother's Day having a picnic in the park instead.,Clara tried to book a restaurant but could not.,Clara remembered to book a restaurant.,1
7761,I knew I was in Labor.,Labor is really the most intense pain ever.,The contraction pains were beyond anything I have ever felt.,The contraction pains were not beyond anything I have ever felt.,1
7762,Gina's parents had been house hunting.,She was not excited about moving back in with her sisters.,They could not find a house and have no choice but to live with her sisters.,They could not find a house and have no choice but to live with her uncles.,1
7763,Pat lived in the woods with her parents.,They became best friends and they love the woods.,One day she met a neighbor walking past.,One day she met a neighbor flying past.,1
7764,There was a new club opening down the street.,The girls couldn't get in.,The club was for people of all ages.,The club was for people 21 and older.,2
7765,Zane spent all of his free time skateboarding.,"Years later, he is the most famous skateboarder in the world.",Zane practiced so many moves.,Zane practiced one single move.,1
7766,Matt was at a school assembly.,"He was okay, but everyone was laughing.",Matt fell down at the assembly.,Matt stood up straight at the assembly.,1
7767,Lisa and her friends went on a girls trip to Miami.,Therefore the girls spent a lot of time at the hospital.,Four of her friends got into a accident.,Two of her friends got into an accident.,2
7768,Mike was petting his dog.,He drove to the petstore and bought some flea medication.,The dog kept scratching.,The kid kept eating.,1
7769,Jess hated egg salad.,Jess decided to make egg salad.,All of Jess' friends hated egg salad.,All of Jess' friends loved egg salad.,2
7770,Ness was on a trip to see her namesake lake in Scotland.,Ness had a great trip but saw nothing supernatural!,Ness was hoping to see the Loch Ness monster.,Ness was hoping to hear the Loch Ness monster.,1
7771,Mahlon has ADHD and often fidgets and goofs off at school.,Mahlon didn't stop until he inhaled too hard and almost swallowed it.,Mahlon kept throwing his eraser in the air and catching it in his mouth.,Mahlon kept throwing his eraser in his hand and catching it.,1
7772,We moved from our condo in 2013.,"We had trouble lifting them on moving day, but we managed.",We decided to leave the fish tank in the house.,We forgot to plan how to get the fish tank out of the house.,2
7773,The kids in town thought a house on Maple Street was haunted.,The squatter was more scary than any ghost Rich could imagine.,Inside the home lived a dirty old man with fangs instead of teeth.,"Inside the home lived a pretty little girl with clean, shiny teeth.",1
7774,John needed to earn some extra money fast.,He did so well he kept his business going all summer.,John decided to pawn some things.,John decided to mow some lawns for extra money.,2
7775,Mary loves to ice skate.,Mary still loves to ice skate and can't wait to heal.,Mary went swimming but twisted her ankle.,Mary went ice skating but twisted her ankle.,2
7776,We were heading home from the Zoo.,He wanted to treat us for being great customers.,"Before we left, the manager of the museum gave us coupons to get something free from the museum's store.","Before we left, the manager of the zoo gave us coupons to get something free from the zoo's store.",2
7777,Lamar learns that he will have unexpected houseguests one afternoon.,Lamar walked to the park.,Lamar became frustrated with the guests and asked them to leave.,Lamar enjoyed the guest and asked them to stay later.,1
7778,Moe flew a kite on a windy day.,He had to climb the tree to get it down.,The kite got stuck on a tree.,The kite didn't get stuck in a tree.,1
7779,Ray wanted a summer tan.,By the end of summer he had a great tan!,Ray stayed outside two minutes a day.,Ray stayed outside fifteen minutes a day.,2
7780,John decided to form a band.,Now they have a successful band.,John asked friends to join his gang.,John asked friends to join his band.,2
7781,Johnny was in high school.,Johnny reluctantly asked Rachel to the dance instead.,Johnny's first choice for a date asked him to the dance.,Johnny's first choice for a date was asked to the dance already.,2
7782,Carla doesn't like how her stomach looks.,Now she is proud of her body again.,Carla need to start eating more.,Carla need to start exercising.,2
7783,Marcus decides that he wants to play a sport this Spring.,Marcus succeeds in tryouts and makes the team!,Marcus tried out for the choir instead.,Marcus tried out for baseball.,2
7784,John woke up sick today.,John dropped the soup when he grabbed it from the microwave.,He decided to make himself some soup.,He decided to make himself a sandwich.,1
7785,The little girl was scared of the mall Santa Claus.,"Santa was an escaped convict, who was shortly returned to jail.",This Santa Claus would threaten her with his fire breath.,This Santa Claus would threaten her under his breath.,2
7786,The bandmates were in the van for a tour,Everyone was fine after,The van was in an accident.,The van did not encounter anything unusual.,1
7787,Jada was thirsty.,Then she came home and had her drink.,She decide to stop and talk to friend in the office first.,She decide to stop and talk to friend first.,2
7788,Two men were talking in a bar.,"He said ""As long as it would take to reach the end of the tunnels.""",One man told a riddle and no one could figure it out.,The actress told a riddle and no one could throw it out.,1
7789,Nora was delighted to try her grandma's sweet pickles.,Nora found the last jar she opened was sweet instead of sour pickles.,Nora realized that there were different kinds of pickles.,Nora avoided knowing that there were different kinds of pickles.,1
7790,My father has always pressured me to go to graduate school.,I am very relieved now that I have a plan.,I decided that I will go and study psychology.,I wondered if I will go and study psychology.,1
7791,Sam was going to chop firewood.,Then he hacked it into logs and carried it home.,He found a tree and climbed it.,He found a tree and cut it down.,2
7792,There was a basketball player named Michael.,This led to the downfall of his career though.,Michael never got hurt.,Michael got hurt very often.,2
7793,Terry promised to take his son to the game if he made good grades.,They ended up attending the game as promised.,His son made terrible grades.,His son made good grades.,2
7794,Ava was at the ice cream parlor.,"Ava licked her cone happily, satisfied with her choice.","Ava took her time, but finally chose a flavor.","Ava took her time, and finally chose a bicycle.",1
7795,Clara wants to get her mom something special for Mother's day.,The two spent Mother's Day having a picnic in the park instead.,Clara's mom just wanted to be left alone that day.,Clara's mom just want to spend quality time with Clara.,2
7796,It was recess and we all had to go outside.,He started crying and he never bullied anyone again that I'm aware of.,The school bull picked up on me scared my brother off.,The school bully picked on me but my brother scared him off.,2
7797,Buddy is a legendary guitarist.,Buddy never gives lessons.,Buddy does is not very social.,Buddy is very generous.,1
